Start
A.L.E: Arcade Learning Environment (version 0.11.1+2750686)
[Powered by Stella]
Using device: cuda:0
Environment: ALE/Enduro-v5 | Action Space: 9 actions.
--- Starting Initial Experience Collection (Random Actions) ---
Collecting 50000 steps to fill replay buffer...
Collected 10000/50000 frames for initial buffer.
Collected 20000/50000 frames for initial buffer.
Collected 30000/50000 frames for initial buffer.
Collected 40000/50000 frames for initial buffer.
Collected 50000/50000 frames for initial buffer.
Initial experience collection finished. Replay Buffer size: 50000
--- Starting Main Training Loop ---
Episode 1/1000 | Total Frames: 50832 | Epsilon: 0.7120 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 2/1000 | Total Frames: 51664 | Epsilon: 0.7100 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 3/1000 | Total Frames: 52496 | Epsilon: 0.7079 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 4/1000 | Total Frames: 53328 | Epsilon: 0.7059 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 5/1000 | Total Frames: 54160 | Epsilon: 0.7039 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 6/1000 | Total Frames: 54992 | Epsilon: 0.7019 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 7/1000 | Total Frames: 55824 | Epsilon: 0.6999 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 8/1000 | Total Frames: 56656 | Epsilon: 0.6979 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 9/1000 | Total Frames: 57488 | Epsilon: 0.6959 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 10/1000 | Total Frames: 58320 | Epsilon: 0.6939 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 11/1000 | Total Frames: 59152 | Epsilon: 0.6920 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 12/1000 | Total Frames: 59984 | Epsilon: 0.6900 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Target network updated at step 60000
Episode 13/1000 | Total Frames: 60816 | Epsilon: 0.6880 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 14/1000 | Total Frames: 61648 | Epsilon: 0.6861 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 15/1000 | Total Frames: 62480 | Epsilon: 0.6841 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 16/1000 | Total Frames: 63312 | Epsilon: 0.6822 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 17/1000 | Total Frames: 64144 | Epsilon: 0.6803 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 18/1000 | Total Frames: 64976 | Epsilon: 0.6783 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 19/1000 | Total Frames: 65808 | Epsilon: 0.6764 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 20/1000 | Total Frames: 66640 | Epsilon: 0.6745 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 21/1000 | Total Frames: 67472 | Epsilon: 0.6726 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 22/1000 | Total Frames: 68304 | Epsilon: 0.6707 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 23/1000 | Total Frames: 69136 | Epsilon: 0.6688 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 24/1000 | Total Frames: 69968 | Epsilon: 0.6669 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Target network updated at step 70000
Episode 25/1000 | Total Frames: 70800 | Epsilon: 0.6650 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 26/1000 | Total Frames: 71632 | Epsilon: 0.6631 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 27/1000 | Total Frames: 72464 | Epsilon: 0.6613 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 28/1000 | Total Frames: 73296 | Epsilon: 0.6594 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 29/1000 | Total Frames: 74128 | Epsilon: 0.6576 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 30/1000 | Total Frames: 74960 | Epsilon: 0.6557 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 31/1000 | Total Frames: 75792 | Epsilon: 0.6539 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 32/1000 | Total Frames: 76624 | Epsilon: 0.6520 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 33/1000 | Total Frames: 77456 | Epsilon: 0.6502 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 34/1000 | Total Frames: 78288 | Epsilon: 0.6484 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 35/1000 | Total Frames: 79120 | Epsilon: 0.6465 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 36/1000 | Total Frames: 79952 | Epsilon: 0.6447 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Target network updated at step 80000
Episode 37/1000 | Total Frames: 80784 | Epsilon: 0.6429 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 38/1000 | Total Frames: 81616 | Epsilon: 0.6411 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 39/1000 | Total Frames: 82448 | Epsilon: 0.6393 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 40/1000 | Total Frames: 83280 | Epsilon: 0.6375 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 41/1000 | Total Frames: 84112 | Epsilon: 0.6357 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 42/1000 | Total Frames: 84944 | Epsilon: 0.6339 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 43/1000 | Total Frames: 85776 | Epsilon: 0.6322 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 44/1000 | Total Frames: 86608 | Epsilon: 0.6304 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 45/1000 | Total Frames: 87440 | Epsilon: 0.6286 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 46/1000 | Total Frames: 88272 | Epsilon: 0.6269 | Reward: 1.00 | Avg 100-episode Reward: 0.02
Episode 47/1000 | Total Frames: 89104 | Epsilon: 0.6251 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 48/1000 | Total Frames: 89936 | Epsilon: 0.6234 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Target network updated at step 90000
Episode 49/1000 | Total Frames: 90768 | Epsilon: 0.6217 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 50/1000 | Total Frames: 91600 | Epsilon: 0.6199 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Model checkpoint saved after episode 50
Episode 51/1000 | Total Frames: 92432 | Epsilon: 0.6182 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 52/1000 | Total Frames: 93264 | Epsilon: 0.6165 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 53/1000 | Total Frames: 94096 | Epsilon: 0.6148 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 54/1000 | Total Frames: 94928 | Epsilon: 0.6130 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 55/1000 | Total Frames: 95760 | Epsilon: 0.6113 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 56/1000 | Total Frames: 96592 | Epsilon: 0.6096 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 57/1000 | Total Frames: 97424 | Epsilon: 0.6079 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 58/1000 | Total Frames: 98256 | Epsilon: 0.6063 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 59/1000 | Total Frames: 99088 | Epsilon: 0.6046 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 60/1000 | Total Frames: 99920 | Epsilon: 0.6029 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Target network updated at step 100000
Episode 61/1000 | Total Frames: 100752 | Epsilon: 0.6012 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 62/1000 | Total Frames: 101584 | Epsilon: 0.5996 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 63/1000 | Total Frames: 102416 | Epsilon: 0.5979 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 64/1000 | Total Frames: 103248 | Epsilon: 0.5962 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 65/1000 | Total Frames: 104080 | Epsilon: 0.5946 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 66/1000 | Total Frames: 104912 | Epsilon: 0.5930 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 67/1000 | Total Frames: 105744 | Epsilon: 0.5913 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 68/1000 | Total Frames: 106576 | Epsilon: 0.5897 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 69/1000 | Total Frames: 107408 | Epsilon: 0.5881 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 70/1000 | Total Frames: 108240 | Epsilon: 0.5864 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 71/1000 | Total Frames: 109072 | Epsilon: 0.5848 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 72/1000 | Total Frames: 109904 | Epsilon: 0.5832 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Target network updated at step 110000
Episode 73/1000 | Total Frames: 110736 | Epsilon: 0.5816 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 74/1000 | Total Frames: 111568 | Epsilon: 0.5800 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 75/1000 | Total Frames: 112400 | Epsilon: 0.5784 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 76/1000 | Total Frames: 113232 | Epsilon: 0.5768 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 77/1000 | Total Frames: 114064 | Epsilon: 0.5752 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 78/1000 | Total Frames: 114896 | Epsilon: 0.5737 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 79/1000 | Total Frames: 115728 | Epsilon: 0.5721 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 80/1000 | Total Frames: 116560 | Epsilon: 0.5705 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 81/1000 | Total Frames: 117392 | Epsilon: 0.5690 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 82/1000 | Total Frames: 118224 | Epsilon: 0.5674 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 83/1000 | Total Frames: 119056 | Epsilon: 0.5658 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 84/1000 | Total Frames: 119888 | Epsilon: 0.5643 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Target network updated at step 120000
Episode 85/1000 | Total Frames: 120720 | Epsilon: 0.5628 | Reward: 0.00 | Avg 100-episode Reward: 0.01
Episode 86/1000 | Total Frames: 121552 | Epsilon: 0.5612 | Reward: 2.00 | Avg 100-episode Reward: 0.03
Episode 87/1000 | Total Frames: 122384 | Epsilon: 0.5597 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 88/1000 | Total Frames: 123216 | Epsilon: 0.5582 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 89/1000 | Total Frames: 124048 | Epsilon: 0.5566 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 90/1000 | Total Frames: 124880 | Epsilon: 0.5551 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 91/1000 | Total Frames: 125712 | Epsilon: 0.5536 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 92/1000 | Total Frames: 126544 | Epsilon: 0.5521 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 93/1000 | Total Frames: 127376 | Epsilon: 0.5506 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 94/1000 | Total Frames: 128208 | Epsilon: 0.5491 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 95/1000 | Total Frames: 129040 | Epsilon: 0.5476 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 96/1000 | Total Frames: 129872 | Epsilon: 0.5461 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Target network updated at step 130000
Episode 97/1000 | Total Frames: 130704 | Epsilon: 0.5446 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 98/1000 | Total Frames: 131536 | Epsilon: 0.5432 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 99/1000 | Total Frames: 132368 | Epsilon: 0.5417 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 100/1000 | Total Frames: 133200 | Epsilon: 0.5402 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Model checkpoint saved after episode 100
Episode 101/1000 | Total Frames: 134032 | Epsilon: 0.5388 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 102/1000 | Total Frames: 134864 | Epsilon: 0.5373 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 103/1000 | Total Frames: 135696 | Epsilon: 0.5358 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 104/1000 | Total Frames: 136528 | Epsilon: 0.5344 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 105/1000 | Total Frames: 137360 | Epsilon: 0.5330 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 106/1000 | Total Frames: 138192 | Epsilon: 0.5315 | Reward: 3.00 | Avg 100-episode Reward: 0.06
Episode 107/1000 | Total Frames: 139024 | Epsilon: 0.5301 | Reward: 0.00 | Avg 100-episode Reward: 0.06
Episode 108/1000 | Total Frames: 139856 | Epsilon: 0.5287 | Reward: 0.00 | Avg 100-episode Reward: 0.06
Target network updated at step 140000
Episode 109/1000 | Total Frames: 140688 | Epsilon: 0.5272 | Reward: 0.00 | Avg 100-episode Reward: 0.06
Episode 110/1000 | Total Frames: 141520 | Epsilon: 0.5258 | Reward: 0.00 | Avg 100-episode Reward: 0.06
Episode 111/1000 | Total Frames: 142352 | Epsilon: 0.5244 | Reward: 1.00 | Avg 100-episode Reward: 0.07
Episode 112/1000 | Total Frames: 143184 | Epsilon: 0.5230 | Reward: 0.00 | Avg 100-episode Reward: 0.07
Episode 113/1000 | Total Frames: 144016 | Epsilon: 0.5216 | Reward: 2.00 | Avg 100-episode Reward: 0.09
Episode 114/1000 | Total Frames: 144848 | Epsilon: 0.5202 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 115/1000 | Total Frames: 145680 | Epsilon: 0.5188 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 116/1000 | Total Frames: 146512 | Epsilon: 0.5174 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 117/1000 | Total Frames: 147344 | Epsilon: 0.5160 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 118/1000 | Total Frames: 148176 | Epsilon: 0.5146 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 119/1000 | Total Frames: 149008 | Epsilon: 0.5132 | Reward: 1.00 | Avg 100-episode Reward: 0.10
Episode 120/1000 | Total Frames: 149840 | Epsilon: 0.5119 | Reward: 0.00 | Avg 100-episode Reward: 0.10
Target network updated at step 150000
Episode 121/1000 | Total Frames: 150672 | Epsilon: 0.5105 | Reward: 1.00 | Avg 100-episode Reward: 0.11
Episode 122/1000 | Total Frames: 151504 | Epsilon: 0.5091 | Reward: 3.00 | Avg 100-episode Reward: 0.14
Episode 123/1000 | Total Frames: 152336 | Epsilon: 0.5078 | Reward: 0.00 | Avg 100-episode Reward: 0.14
Episode 124/1000 | Total Frames: 153168 | Epsilon: 0.5064 | Reward: 0.00 | Avg 100-episode Reward: 0.14
Episode 125/1000 | Total Frames: 154000 | Epsilon: 0.5051 | Reward: 0.00 | Avg 100-episode Reward: 0.14
Episode 126/1000 | Total Frames: 154832 | Epsilon: 0.5037 | Reward: 0.00 | Avg 100-episode Reward: 0.14
Episode 127/1000 | Total Frames: 155664 | Epsilon: 0.5024 | Reward: 1.00 | Avg 100-episode Reward: 0.15
Episode 128/1000 | Total Frames: 156496 | Epsilon: 0.5010 | Reward: 0.00 | Avg 100-episode Reward: 0.15
Episode 129/1000 | Total Frames: 157328 | Epsilon: 0.4997 | Reward: 0.00 | Avg 100-episode Reward: 0.15
Episode 130/1000 | Total Frames: 158160 | Epsilon: 0.4984 | Reward: 0.00 | Avg 100-episode Reward: 0.15
Episode 131/1000 | Total Frames: 158992 | Epsilon: 0.4971 | Reward: 3.00 | Avg 100-episode Reward: 0.18
Episode 132/1000 | Total Frames: 159824 | Epsilon: 0.4957 | Reward: 0.00 | Avg 100-episode Reward: 0.18
Target network updated at step 160000
Episode 133/1000 | Total Frames: 160656 | Epsilon: 0.4944 | Reward: 0.00 | Avg 100-episode Reward: 0.18
Episode 134/1000 | Total Frames: 161488 | Epsilon: 0.4931 | Reward: 0.00 | Avg 100-episode Reward: 0.18
Episode 135/1000 | Total Frames: 162320 | Epsilon: 0.4918 | Reward: 0.00 | Avg 100-episode Reward: 0.18
Episode 136/1000 | Total Frames: 163152 | Epsilon: 0.4905 | Reward: 0.00 | Avg 100-episode Reward: 0.18
