Using device: cuda:0 
Environment: ALE/Enduro-v5 | Action Space: 9 actions.
--- Starting Initial Experience Collection (Random Actions) ---
Collecting 50000 steps to fill replay buffer...
Collected 10000/50000 frames for initial buffer.
Collected 20000/50000 frames for initial buffer.
Collected 30000/50000 frames for initial buffer.
Collected 40000/50000 frames for initial buffer.
Collected 50000/50000 frames for initial buffer.
Initial experience collection finished. Replay Buffer size: 50000
--- Starting Main Training Loop ---
Episode 1/500 | Total Frames: 50832 | Epsilon: 0.7120 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 2/500 | Total Frames: 51664 | Epsilon: 0.7100 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 3/500 | Total Frames: 52496 | Epsilon: 0.7079 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 4/500 | Total Frames: 53328 | Epsilon: 0.7059 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 5/500 | Total Frames: 54160 | Epsilon: 0.7039 | Reward: 1.00 | Avg 100-episode Reward: 0.20
Episode 6/500 | Total Frames: 54992 | Epsilon: 0.7019 | Reward: 0.00 | Avg 100-episode Reward: 0.17
Episode 7/500 | Total Frames: 55824 | Epsilon: 0.6999 | Reward: 1.00 | Avg 100-episode Reward: 0.29
Episode 8/500 | Total Frames: 56656 | Epsilon: 0.6979 | Reward: 0.00 | Avg 100-episode Reward: 0.25
Episode 9/500 | Total Frames: 57488 | Epsilon: 0.6959 | Reward: 0.00 | Avg 100-episode Reward: 0.22
Episode 10/500 | Total Frames: 58320 | Epsilon: 0.6939 | Reward: 0.00 | Avg 100-episode Reward: 0.20
Episode 11/500 | Total Frames: 59152 | Epsilon: 0.6920 | Reward: 0.00 | Avg 100-episode Reward: 0.18
Episode 12/500 | Total Frames: 59984 | Epsilon: 0.6900 | Reward: 0.00 | Avg 100-episode Reward: 0.17
Target network updated at step 60000
Episode 13/500 | Total Frames: 60816 | Epsilon: 0.6880 | Reward: 0.00 | Avg 100-episode Reward: 0.15
Episode 14/500 | Total Frames: 61648 | Epsilon: 0.6861 | Reward: 1.00 | Avg 100-episode Reward: 0.21
Episode 15/500 | Total Frames: 62480 | Epsilon: 0.6841 | Reward: 0.00 | Avg 100-episode Reward: 0.20
Episode 16/500 | Total Frames: 63312 | Epsilon: 0.6822 | Reward: 0.00 | Avg 100-episode Reward: 0.19
Episode 17/500 | Total Frames: 64144 | Epsilon: 0.6803 | Reward: 0.00 | Avg 100-episode Reward: 0.18
Episode 18/500 | Total Frames: 64976 | Epsilon: 0.6783 | Reward: 0.00 | Avg 100-episode Reward: 0.17
Episode 19/500 | Total Frames: 65808 | Epsilon: 0.6764 | Reward: 1.00 | Avg 100-episode Reward: 0.21
Episode 20/500 | Total Frames: 66640 | Epsilon: 0.6745 | Reward: 0.00 | Avg 100-episode Reward: 0.20
Episode 21/500 | Total Frames: 67472 | Epsilon: 0.6726 | Reward: 0.00 | Avg 100-episode Reward: 0.19
Episode 22/500 | Total Frames: 68304 | Epsilon: 0.6707 | Reward: 0.00 | Avg 100-episode Reward: 0.18
Episode 23/500 | Total Frames: 69136 | Epsilon: 0.6688 | Reward: 0.00 | Avg 100-episode Reward: 0.17
Episode 24/500 | Total Frames: 69968 | Epsilon: 0.6669 | Reward: 0.00 | Avg 100-episode Reward: 0.17
Target network updated at step 70000
Episode 25/500 | Total Frames: 70800 | Epsilon: 0.6650 | Reward: 0.00 | Avg 100-episode Reward: 0.16
Episode 26/500 | Total Frames: 71632 | Epsilon: 0.6631 | Reward: 0.00 | Avg 100-episode Reward: 0.15
Episode 27/500 | Total Frames: 72464 | Epsilon: 0.6613 | Reward: 0.00 | Avg 100-episode Reward: 0.15
Episode 28/500 | Total Frames: 73296 | Epsilon: 0.6594 | Reward: 0.00 | Avg 100-episode Reward: 0.14
Episode 29/500 | Total Frames: 74128 | Epsilon: 0.6576 | Reward: 0.00 | Avg 100-episode Reward: 0.14
Episode 30/500 | Total Frames: 74960 | Epsilon: 0.6557 | Reward: 0.00 | Avg 100-episode Reward: 0.13
Episode 31/500 | Total Frames: 75792 | Epsilon: 0.6539 | Reward: 0.00 | Avg 100-episode Reward: 0.13
Episode 32/500 | Total Frames: 76624 | Epsilon: 0.6520 | Reward: 0.00 | Avg 100-episode Reward: 0.12
Episode 33/500 | Total Frames: 77456 | Epsilon: 0.6502 | Reward: 0.00 | Avg 100-episode Reward: 0.12
Episode 34/500 | Total Frames: 78288 | Epsilon: 0.6484 | Reward: 0.00 | Avg 100-episode Reward: 0.12
Episode 35/500 | Total Frames: 79120 | Epsilon: 0.6465 | Reward: 0.00 | Avg 100-episode Reward: 0.11
Episode 36/500 | Total Frames: 79952 | Epsilon: 0.6447 | Reward: 0.00 | Avg 100-episode Reward: 0.11
Target network updated at step 80000
Episode 37/500 | Total Frames: 80784 | Epsilon: 0.6429 | Reward: 0.00 | Avg 100-episode Reward: 0.11
Episode 38/500 | Total Frames: 81616 | Epsilon: 0.6411 | Reward: 0.00 | Avg 100-episode Reward: 0.11
Episode 39/500 | Total Frames: 82448 | Epsilon: 0.6393 | Reward: 0.00 | Avg 100-episode Reward: 0.10
Episode 40/500 | Total Frames: 83280 | Epsilon: 0.6375 | Reward: 0.00 | Avg 100-episode Reward: 0.10
Episode 41/500 | Total Frames: 84112 | Epsilon: 0.6357 | Reward: 0.00 | Avg 100-episode Reward: 0.10
Episode 42/500 | Total Frames: 84944 | Epsilon: 0.6339 | Reward: 0.00 | Avg 100-episode Reward: 0.10
Episode 43/500 | Total Frames: 85776 | Epsilon: 0.6322 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 44/500 | Total Frames: 86608 | Epsilon: 0.6304 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 45/500 | Total Frames: 87440 | Epsilon: 0.6286 | Reward: 1.00 | Avg 100-episode Reward: 0.11
Episode 46/500 | Total Frames: 88272 | Epsilon: 0.6269 | Reward: 0.00 | Avg 100-episode Reward: 0.11
Episode 47/500 | Total Frames: 89104 | Epsilon: 0.6251 | Reward: 0.00 | Avg 100-episode Reward: 0.11
Episode 48/500 | Total Frames: 89936 | Epsilon: 0.6234 | Reward: 0.00 | Avg 100-episode Reward: 0.10
Target network updated at step 90000
Episode 49/500 | Total Frames: 90768 | Epsilon: 0.6217 | Reward: 1.00 | Avg 100-episode Reward: 0.12
Episode 50/500 | Total Frames: 91600 | Epsilon: 0.6199 | Reward: 0.00 | Avg 100-episode Reward: 0.12
Model checkpoint saved after episode 50
Episode 51/500 | Total Frames: 92432 | Epsilon: 0.6182 | Reward: 0.00 | Avg 100-episode Reward: 0.12
Episode 52/500 | Total Frames: 93264 | Epsilon: 0.6165 | Reward: 0.00 | Avg 100-episode Reward: 0.12
Episode 53/500 | Total Frames: 94096 | Epsilon: 0.6148 | Reward: 0.00 | Avg 100-episode Reward: 0.11
Episode 54/500 | Total Frames: 94928 | Epsilon: 0.6130 | Reward: 1.00 | Avg 100-episode Reward: 0.13
Episode 55/500 | Total Frames: 95760 | Epsilon: 0.6113 | Reward: 0.00 | Avg 100-episode Reward: 0.13
Episode 56/500 | Total Frames: 96592 | Epsilon: 0.6096 | Reward: 0.00 | Avg 100-episode Reward: 0.12
Episode 57/500 | Total Frames: 97424 | Epsilon: 0.6079 | Reward: 0.00 | Avg 100-episode Reward: 0.12
Episode 58/500 | Total Frames: 98256 | Epsilon: 0.6063 | Reward: 0.00 | Avg 100-episode Reward: 0.12
Episode 59/500 | Total Frames: 99088 | Epsilon: 0.6046 | Reward: 0.00 | Avg 100-episode Reward: 0.12
