Start
A.L.E: Arcade Learning Environment (version 0.11.1+2750686)
[Powered by Stella]
Using device: cuda:0 
Environment: ALE/Enduro-v5 | Action Space: 9 actions.
--- Starting Initial Experience Collection (Random Actions) ---
Collecting 50000 steps to fill replay buffer...
Collected 10000/50000 frames for initial buffer.
Collected 20000/50000 frames for initial buffer.
Collected 30000/50000 frames for initial buffer.
Collected 40000/50000 frames for initial buffer.
Collected 50000/50000 frames for initial buffer.
Initial experience collection finished. Replay Buffer size: 50000
--- Starting Main Training Loop ---
Episode 1/500 | Total Frames: 50832 | Epsilon: 0.8344 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 2/500 | Total Frames: 51664 | Epsilon: 0.8320 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 3/500 | Total Frames: 52496 | Epsilon: 0.8295 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 4/500 | Total Frames: 53328 | Epsilon: 0.8271 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 5/500 | Total Frames: 54160 | Epsilon: 0.8247 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 6/500 | Total Frames: 54992 | Epsilon: 0.8223 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 7/500 | Total Frames: 55824 | Epsilon: 0.8199 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 8/500 | Total Frames: 56656 | Epsilon: 0.8175 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 9/500 | Total Frames: 57488 | Epsilon: 0.8151 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 10/500 | Total Frames: 58320 | Epsilon: 0.8127 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 11/500 | Total Frames: 59152 | Epsilon: 0.8104 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 12/500 | Total Frames: 59984 | Epsilon: 0.8080 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Target network updated at step 60000
Episode 13/500 | Total Frames: 60816 | Epsilon: 0.8057 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 14/500 | Total Frames: 61648 | Epsilon: 0.8033 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 15/500 | Total Frames: 62480 | Epsilon: 0.8010 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 16/500 | Total Frames: 63312 | Epsilon: 0.7986 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 17/500 | Total Frames: 64144 | Epsilon: 0.7963 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 18/500 | Total Frames: 64976 | Epsilon: 0.7940 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 19/500 | Total Frames: 65808 | Epsilon: 0.7917 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 20/500 | Total Frames: 66640 | Epsilon: 0.7894 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 21/500 | Total Frames: 67472 | Epsilon: 0.7871 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 22/500 | Total Frames: 68304 | Epsilon: 0.7848 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 23/500 | Total Frames: 69136 | Epsilon: 0.7826 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 24/500 | Total Frames: 69968 | Epsilon: 0.7803 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Target network updated at step 70000
Episode 25/500 | Total Frames: 70800 | Epsilon: 0.7780 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 26/500 | Total Frames: 71632 | Epsilon: 0.7758 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 27/500 | Total Frames: 72464 | Epsilon: 0.7735 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 28/500 | Total Frames: 73296 | Epsilon: 0.7713 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 29/500 | Total Frames: 74128 | Epsilon: 0.7691 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 30/500 | Total Frames: 74960 | Epsilon: 0.7668 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 31/500 | Total Frames: 75792 | Epsilon: 0.7646 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 32/500 | Total Frames: 76624 | Epsilon: 0.7624 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 33/500 | Total Frames: 77456 | Epsilon: 0.7602 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 34/500 | Total Frames: 78288 | Epsilon: 0.7580 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 35/500 | Total Frames: 79120 | Epsilon: 0.7558 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Episode 36/500 | Total Frames: 79952 | Epsilon: 0.7537 | Reward: 0.00 | Avg 100-episode Reward: 0.00
Target network updated at step 80000
Episode 37/500 | Total Frames: 80784 | Epsilon: 0.7515 | Reward: 1.00 | Avg 100-episode Reward: 0.03
Episode 38/500 | Total Frames: 81616 | Epsilon: 0.7493 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 39/500 | Total Frames: 82448 | Epsilon: 0.7472 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 40/500 | Total Frames: 83280 | Epsilon: 0.7450 | Reward: 0.00 | Avg 100-episode Reward: 0.03
Episode 41/500 | Total Frames: 84112 | Epsilon: 0.7429 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 42/500 | Total Frames: 84944 | Epsilon: 0.7407 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 43/500 | Total Frames: 85776 | Epsilon: 0.7386 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 44/500 | Total Frames: 86608 | Epsilon: 0.7365 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 45/500 | Total Frames: 87440 | Epsilon: 0.7344 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 46/500 | Total Frames: 88272 | Epsilon: 0.7323 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 47/500 | Total Frames: 89104 | Epsilon: 0.7302 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 48/500 | Total Frames: 89936 | Epsilon: 0.7281 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Target network updated at step 90000
Episode 49/500 | Total Frames: 90768 | Epsilon: 0.7260 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 50/500 | Total Frames: 91600 | Epsilon: 0.7239 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Model checkpoint saved after episode 50
Episode 51/500 | Total Frames: 92432 | Epsilon: 0.7218 | Reward: 0.00 | Avg 100-episode Reward: 0.02
Episode 52/500 | Total Frames: 93264 | Epsilon: 0.7198 | Reward: 1.00 | Avg 100-episode Reward: 0.04
Episode 53/500 | Total Frames: 94096 | Epsilon: 0.7177 | Reward: 0.00 | Avg 100-episode Reward: 0.04
Episode 54/500 | Total Frames: 94928 | Epsilon: 0.7157 | Reward: 0.00 | Avg 100-episode Reward: 0.04
Episode 55/500 | Total Frames: 95760 | Epsilon: 0.7136 | Reward: 0.00 | Avg 100-episode Reward: 0.04
Episode 56/500 | Total Frames: 96592 | Epsilon: 0.7116 | Reward: 0.00 | Avg 100-episode Reward: 0.04
Episode 57/500 | Total Frames: 97424 | Epsilon: 0.7095 | Reward: 0.00 | Avg 100-episode Reward: 0.04
Episode 58/500 | Total Frames: 98256 | Epsilon: 0.7075 | Reward: 4.00 | Avg 100-episode Reward: 0.10
Episode 59/500 | Total Frames: 99088 | Epsilon: 0.7055 | Reward: 0.00 | Avg 100-episode Reward: 0.10
Episode 60/500 | Total Frames: 99920 | Epsilon: 0.7035 | Reward: 0.00 | Avg 100-episode Reward: 0.10
Target network updated at step 100000
Episode 61/500 | Total Frames: 100752 | Epsilon: 0.7015 | Reward: 0.00 | Avg 100-episode Reward: 0.10
Episode 62/500 | Total Frames: 101584 | Epsilon: 0.6995 | Reward: 0.00 | Avg 100-episode Reward: 0.10
Episode 63/500 | Total Frames: 102416 | Epsilon: 0.6975 | Reward: 0.00 | Avg 100-episode Reward: 0.10
Episode 64/500 | Total Frames: 103248 | Epsilon: 0.6955 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 65/500 | Total Frames: 104080 | Epsilon: 0.6935 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 66/500 | Total Frames: 104912 | Epsilon: 0.6915 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 67/500 | Total Frames: 105744 | Epsilon: 0.6896 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 68/500 | Total Frames: 106576 | Epsilon: 0.6876 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 69/500 | Total Frames: 107408 | Epsilon: 0.6857 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 70/500 | Total Frames: 108240 | Epsilon: 0.6837 | Reward: 0.00 | Avg 100-episode Reward: 0.09
Episode 71/500 | Total Frames: 109072 | Epsilon: 0.6818 | Reward: 0.00 | Avg 100-episode Reward: 0.08
Episode 72/500 | Total Frames: 109904 | Epsilon: 0.6799 | Reward: 0.00 | Avg 100-episode Reward: 0.08
Target network updated at step 110000
Episode 73/500 | Total Frames: 110736 | Epsilon: 0.6779 | Reward: 0.00 | Avg 100-episode Reward: 0.08
Episode 74/500 | Total Frames: 111568 | Epsilon: 0.6760 | Reward: 0.00 | Avg 100-episode Reward: 0.08
Episode 75/500 | Total Frames: 112400 | Epsilon: 0.6741 | Reward: 0.00 | Avg 100-episode Reward: 0.08
Episode 76/500 | Total Frames: 113232 | Epsilon: 0.6722 | Reward: 0.00 | Avg 100-episode Reward: 0.08
Episode 77/500 | Total Frames: 114064 | Epsilon: 0.6703 | Reward: 0.00 | Avg 100-episode Reward: 0.08
Episode 78/500 | Total Frames: 114896 | Epsilon: 0.6684 | Reward: 0.00 | Avg 100-episode Reward: 0.08
Episode 79/500 | Total Frames: 115728 | Epsilon: 0.6665 | Reward: 0.00 | Avg 100-episode Reward: 0.08
Episode 80/500 | Total Frames: 116560 | Epsilon: 0.6646 | Reward: 0.00 | Avg 100-episode Reward: 0.07
Episode 81/500 | Total Frames: 117392 | Epsilon: 0.6627 | Reward: 0.00 | Avg 100-episode Reward: 0.07
Episode 82/500 | Total Frames: 118224 | Epsilon: 0.6609 | Reward: 0.00 | Avg 100-episode Reward: 0.07
Episode 83/500 | Total Frames: 119056 | Epsilon: 0.6590 | Reward: 0.00 | Avg 100-episode Reward: 0.07
Episode 84/500 | Total Frames: 119888 | Epsilon: 0.6572 | Reward: 0.00 | Avg 100-episode Reward: 0.07
Target network updated at step 120000
Episode 85/500 | Total Frames: 120720 | Epsilon: 0.6553 | Reward: 0.00 | Avg 100-episode Reward: 0.07
